Train Epoch: [2/30] Iters:[240/468] gen_loss 0.4740, rec_loss 0.0111, lpips_loss 0.1459, g_loss 0.0765, disc_weight 0.4000, disc_adaptive_weight 4.1368, d_loss 0.4502, logits_real -0.0824, logits_fake -0.0766,
Train Epoch: [2/30] Iters:[250/468] gen_loss 0.4762, rec_loss 0.0111, lpips_loss 0.1462, g_loss 0.0765, disc_weight 0.4000, disc_adaptive_weight 4.1586, d_loss 0.4486, logits_real -0.0825, logits_fake -0.0766,
Train Epoch: [2/30] Iters:[260/468] gen_loss 0.4605, rec_loss 0.0112, lpips_loss 0.1465, g_loss 0.0767, disc_weight 0.4000, disc_adaptive_weight 3.9357, d_loss 0.4473, logits_real -0.0822, logits_fake -0.0766,
Train Epoch: [2/30] Iters:[270/468] gen_loss 0.4792, rec_loss 0.0113, lpips_loss 0.1464, g_loss 0.0767, disc_weight 0.4000, disc_adaptive_weight 4.1796, d_loss 0.4461, logits_real -0.0821, logits_fake -0.0765,
Train Epoch: [2/30] Iters:[280/468] gen_loss 0.4824, rec_loss 0.0112, lpips_loss 0.1457, g_loss 0.0764, disc_weight 0.4000, disc_adaptive_weight 4.2505, d_loss 0.4449, logits_real -0.0820, logits_fake -0.0760,
Train Epoch: [2/30] Iters:[290/468] gen_loss 0.4892, rec_loss 0.0113, lpips_loss 0.1457, g_loss 0.0763, disc_weight 0.4000, disc_adaptive_weight 4.3466, d_loss 0.4436, logits_real -0.0817, logits_fake -0.0758,
Train Epoch: [2/30] Iters:[300/468] gen_loss 0.4857, rec_loss 0.0112, lpips_loss 0.1454, g_loss 0.0760, disc_weight 0.4000, disc_adaptive_weight 4.3249, d_loss 0.4424, logits_real -0.0816, logits_fake -0.0756,
Train Epoch: [2/30] Iters:[310/468] gen_loss 0.4939, rec_loss 0.0112, lpips_loss 0.1455, g_loss 0.0760, disc_weight 0.4000, disc_adaptive_weight 4.4318, d_loss 0.4411, logits_real -0.0815, logits_fake -0.0756,
Train Epoch: [2/30] Iters:[320/468] gen_loss 0.4760, rec_loss 0.0111, lpips_loss 0.1454, g_loss 0.0758, disc_weight 0.4000, disc_adaptive_weight 4.2136, d_loss 0.4399, logits_real -0.0815, logits_fake -0.0756,
Train Epoch: [2/30] Iters:[330/468] gen_loss 0.5000, rec_loss 0.0112, lpips_loss 0.1460, g_loss 0.0761, disc_weight 0.4000, disc_adaptive_weight 4.5013, d_loss 0.4389, logits_real -0.0815, logits_fake -0.0761,
