Train Epoch: [1/30] Iters:[710/1093] gen_loss 0.2019, rec_loss 0.0123, lpips_loss 0.1482, g_loss 0.0097, disc_weight 0.4000, disc_adaptive_weight 4.1942, d_loss 0.4413, logits_real -0.0141, logits_fake -0.0097,
Train Epoch: [1/30] Iters:[720/1093] gen_loss 0.2072, rec_loss 0.0124, lpips_loss 0.1485, g_loss 0.0103, disc_weight 0.4000, disc_adaptive_weight 4.4694, d_loss 0.4400, logits_real -0.0146, logits_fake -0.0104,
Train Epoch: [1/30] Iters:[730/1093] gen_loss 0.2067, rec_loss 0.0124, lpips_loss 0.1484, g_loss 0.0109, disc_weight 0.4000, disc_adaptive_weight 4.2494, d_loss 0.4392, logits_real -0.0154, logits_fake -0.0107,
Train Epoch: [1/30] Iters:[740/1093] gen_loss 0.2082, rec_loss 0.0123, lpips_loss 0.1484, g_loss 0.0116, disc_weight 0.4000, disc_adaptive_weight 4.0376, d_loss 0.4382, logits_real -0.0160, logits_fake -0.0113,
Train Epoch: [1/30] Iters:[750/1093] gen_loss 0.2098, rec_loss 0.0123, lpips_loss 0.1478, g_loss 0.0123, disc_weight 0.4000, disc_adaptive_weight 3.9699, d_loss 0.4372, logits_real -0.0165, logits_fake -0.0120,
Train Epoch: [1/30] Iters:[760/1093] gen_loss 0.2107, rec_loss 0.0123, lpips_loss 0.1473, g_loss 0.0128, disc_weight 0.4000, disc_adaptive_weight 3.9598, d_loss 0.4363, logits_real -0.0169, logits_fake -0.0124,
Train Epoch: [1/30] Iters:[770/1093] gen_loss 0.2111, rec_loss 0.0123, lpips_loss 0.1468, g_loss 0.0132, disc_weight 0.4000, disc_adaptive_weight 3.8977, d_loss 0.4354, logits_real -0.0174, logits_fake -0.0129,
Train Epoch: [1/30] Iters:[780/1093] gen_loss 0.2138, rec_loss 0.0124, lpips_loss 0.1472, g_loss 0.0135, disc_weight 0.4000, disc_adaptive_weight 3.9596, d_loss 0.4345, logits_real -0.0178, logits_fake -0.0135,
Train Epoch: [1/30] Iters:[790/1093] gen_loss 0.2136, rec_loss 0.0124, lpips_loss 0.1474, g_loss 0.0139, disc_weight 0.4000, disc_adaptive_weight 3.8443, d_loss 0.4337, logits_real -0.0184, logits_fake -0.0139,
Train Epoch: [1/30] Iters:[800/1093] gen_loss 0.2174, rec_loss 0.0125, lpips_loss 0.1475, g_loss 0.0144, disc_weight 0.4000, disc_adaptive_weight 3.9247, d_loss 0.4328, logits_real -0.0189, logits_fake -0.0146,
