Train Epoch: [1/30] Iters:[840/1093] gen_loss -0.2089, rec_loss 0.0108, lpips_loss 0.1357, g_loss -0.0980, disc_weight 0.4000, disc_adaptive_weight 3.6278, d_loss 0.4315, logits_real 0.0934, logits_fake 0.0978,
Train Epoch: [1/30] Iters:[850/1093] gen_loss -0.1957, rec_loss 0.0108, lpips_loss 0.1356, g_loss -0.0980, disc_weight 0.4000, disc_adaptive_weight 3.4935, d_loss 0.4308, logits_real 0.0931, logits_fake 0.0976,
Train Epoch: [1/30] Iters:[860/1093] gen_loss -0.1939, rec_loss 0.0110, lpips_loss 0.1361, g_loss -0.0979, disc_weight 0.4000, disc_adaptive_weight 3.4851, d_loss 0.4302, logits_real 0.0930, logits_fake 0.0974,
Train Epoch: [1/30] Iters:[870/1093] gen_loss -0.2197, rec_loss 0.0108, lpips_loss 0.1358, g_loss -0.0978, disc_weight 0.4000, disc_adaptive_weight 3.7465, d_loss 0.4296, logits_real 0.0926, logits_fake 0.0973,
Train Epoch: [1/30] Iters:[880/1093] gen_loss -0.2389, rec_loss 0.0108, lpips_loss 0.1351, g_loss -0.0975, disc_weight 0.4000, disc_adaptive_weight 3.9520, d_loss 0.4289, logits_real 0.0924, logits_fake 0.0969,
Train Epoch: [1/30] Iters:[890/1093] gen_loss -0.2188, rec_loss 0.0110, lpips_loss 0.1355, g_loss -0.0972, disc_weight 0.4000, disc_adaptive_weight 3.7620, d_loss 0.4283, logits_real 0.0922, logits_fake 0.0968,
Train Epoch: [1/30] Iters:[900/1093] gen_loss -0.2309, rec_loss 0.0109, lpips_loss 0.1359, g_loss -0.0966, disc_weight 0.4000, disc_adaptive_weight 3.9111, d_loss 0.4278, logits_real 0.0919, logits_fake 0.0965,
Train Epoch: [1/30] Iters:[910/1093] gen_loss -0.2256, rec_loss 0.0109, lpips_loss 0.1358, g_loss -0.0963, disc_weight 0.4000, disc_adaptive_weight 3.8722, d_loss 0.4272, logits_real 0.0917, logits_fake 0.0964,
Train Epoch: [1/30] Iters:[920/1093] gen_loss -0.2237, rec_loss 0.0108, lpips_loss 0.1358, g_loss -0.0958, disc_weight 0.4000, disc_adaptive_weight 3.8714, d_loss 0.4267, logits_real 0.0914, logits_fake 0.0962,
Train Epoch: [1/30] Iters:[930/1093] gen_loss -0.2016, rec_loss 0.0108, lpips_loss 0.1358, g_loss -0.0955, disc_weight 0.4000, disc_adaptive_weight 3.6509, d_loss 0.4260, logits_real 0.0911, logits_fake 0.0957,
Train Epoch: [1/30] Iters:[940/1093] gen_loss -0.2254, rec_loss 0.0108, lpips_loss 0.1356, g_loss -0.0950, disc_weight 0.4000, disc_adaptive_weight 3.9219, d_loss 0.4256, logits_real 0.0907, logits_fake 0.0954,
Train Epoch: [1/30] Iters:[950/1093] gen_loss -0.2288, rec_loss 0.0108, lpips_loss 0.1359, g_loss -0.0948, disc_weight 0.4000, disc_adaptive_weight 3.9669, d_loss 0.4251, logits_real 0.0903, logits_fake 0.0951,
Train Epoch: [1/30] Iters:[960/1093] gen_loss -0.2511, rec_loss 0.0106, lpips_loss 0.1359, g_loss -0.0943, disc_weight 0.4000, disc_adaptive_weight 4.2241, d_loss 0.4243, logits_real 0.0898, logits_fake 0.0945,
Train Epoch: [1/30] Iters:[970/1093] gen_loss -0.2461, rec_loss 0.0107, lpips_loss 0.1360, g_loss -0.0938, disc_weight 0.4000, disc_adaptive_weight 4.1945, d_loss 0.4238, logits_real 0.0893, logits_fake 0.0939,
Train Epoch: [1/30] Iters:[980/1093] gen_loss -0.2539, rec_loss 0.0107, lpips_loss 0.1365, g_loss -0.0936, disc_weight 0.4000, disc_adaptive_weight 4.2931, d_loss 0.4235, logits_real 0.0889, logits_fake 0.0938,
Train Epoch: [1/30] Iters:[990/1093] gen_loss -0.2406, rec_loss 0.0107, lpips_loss 0.1363, g_loss -0.0933, disc_weight 0.4000, disc_adaptive_weight 4.1569, d_loss 0.4229, logits_real 0.0886, logits_fake 0.0934,
Train Epoch: [1/30] Iters:[1000/1093] gen_loss -0.2298, rec_loss 0.0107, lpips_loss 0.1358, g_loss -0.0929, disc_weight 0.4000, disc_adaptive_weight 4.0540, d_loss 0.4225, logits_real 0.0883, logits_fake 0.0930,
Train Epoch: [1/30] Iters:[1010/1093] gen_loss -0.2131, rec_loss 0.0107, lpips_loss 0.1356, g_loss -0.0925, disc_weight 0.4000, disc_adaptive_weight 3.8894, d_loss 0.4223, logits_real 0.0879, logits_fake 0.0927,
Train Epoch: [1/30] Iters:[1020/1093] gen_loss -0.2228, rec_loss 0.0108, lpips_loss 0.1356, g_loss -0.0924, disc_weight 0.4000, disc_adaptive_weight 3.9979, d_loss 0.4219, logits_real 0.0877, logits_fake 0.0924,
