Train Epoch: [1/5] Iters:[860/20018] gen_loss 0.1116, rec_loss 0.0256, lpips_loss 0.1857, g_loss -0.0273, disc_weight 0.4000, disc_adaptive_weight 3.6640, d_loss 0.4443, logits_real 0.0260, logits_fake 0.0272,
Train Epoch: [1/5] Iters:[870/20018] gen_loss 0.1154, rec_loss 0.0257, lpips_loss 0.1864, g_loss -0.0271, disc_weight 0.4000, disc_adaptive_weight 3.5702, d_loss 0.4433, logits_real 0.0259, logits_fake 0.0271,
Train Epoch: [1/5] Iters:[880/20018] gen_loss 0.1103, rec_loss 0.0259, lpips_loss 0.1872, g_loss -0.0272, disc_weight 0.4000, disc_adaptive_weight 3.7805, d_loss 0.4429, logits_real 0.0261, logits_fake 0.0271,
Train Epoch: [1/5] Iters:[890/20018] gen_loss 0.1060, rec_loss 0.0257, lpips_loss 0.1865, g_loss -0.0276, disc_weight 0.4000, disc_adaptive_weight 3.8454, d_loss 0.4423, logits_real 0.0263, logits_fake 0.0274,
Train Epoch: [1/5] Iters:[900/20018] gen_loss 0.1123, rec_loss 0.0264, lpips_loss 0.1883, g_loss -0.0280, disc_weight 0.4000, disc_adaptive_weight 3.6659, d_loss 0.4417, logits_real 0.0266, logits_fake 0.0278,
Train Epoch: [1/5] Iters:[910/20018] gen_loss 0.1139, rec_loss 0.0262, lpips_loss 0.1881, g_loss -0.0283, disc_weight 0.4000, disc_adaptive_weight 3.5635, d_loss 0.4406, logits_real 0.0270, logits_fake 0.0282,
Train Epoch: [1/5] Iters:[920/20018] gen_loss 0.1102, rec_loss 0.0260, lpips_loss 0.1867, g_loss -0.0286, disc_weight 0.4000, disc_adaptive_weight 3.6016, d_loss 0.4390, logits_real 0.0272, logits_fake 0.0285,
Train Epoch: [1/5] Iters:[930/20018] gen_loss 0.1116, rec_loss 0.0261, lpips_loss 0.1866, g_loss -0.0288, disc_weight 0.4000, disc_adaptive_weight 3.5156, d_loss 0.4380, logits_real 0.0275, logits_fake 0.0287,
Train Epoch: [1/5] Iters:[940/20018] gen_loss 0.1165, rec_loss 0.0261, lpips_loss 0.1866, g_loss -0.0289, disc_weight 0.4000, disc_adaptive_weight 3.3228, d_loss 0.4372, logits_real 0.0275, logits_fake 0.0289,
Train Epoch: [1/5] Iters:[950/20018] gen_loss 0.1185, rec_loss 0.0257, lpips_loss 0.1856, g_loss -0.0289, disc_weight 0.4000, disc_adaptive_weight 3.2047, d_loss 0.4365, logits_real 0.0274, logits_fake 0.0289,
Train Epoch: [1/5] Iters:[960/20018] gen_loss 0.1157, rec_loss 0.0256, lpips_loss 0.1861, g_loss -0.0290, disc_weight 0.4000, disc_adaptive_weight 3.3001, d_loss 0.4356, logits_real 0.0274, logits_fake 0.0289,
Train Epoch: [1/5] Iters:[970/20018] gen_loss 0.1164, rec_loss 0.0259, lpips_loss 0.1872, g_loss -0.0290, disc_weight 0.4000, disc_adaptive_weight 3.3195, d_loss 0.4353, logits_real 0.0277, logits_fake 0.0292,
Train Epoch: [1/5] Iters:[980/20018] gen_loss 0.1138, rec_loss 0.0260, lpips_loss 0.1873, g_loss -0.0290, disc_weight 0.4000, disc_adaptive_weight 3.4180, d_loss 0.4344, logits_real 0.0275, logits_fake 0.0291,
Train Epoch: [1/5] Iters:[990/20018] gen_loss 0.1103, rec_loss 0.0260, lpips_loss 0.1870, g_loss -0.0288, disc_weight 0.4000, disc_adaptive_weight 3.5543, d_loss 0.4334, logits_real 0.0274, logits_fake 0.0289,
Train Epoch: [1/5] Iters:[1000/20018] gen_loss 0.1085, rec_loss 0.0263, lpips_loss 0.1869, g_loss -0.0285, disc_weight 0.4000, disc_adaptive_weight 3.6662, d_loss 0.4326, logits_real 0.0272, logits_fake 0.0285,
Train Epoch: [1/5] Iters:[1010/20018] gen_loss 0.1109, rec_loss 0.0260, lpips_loss 0.1856, g_loss -0.0279, disc_weight 0.4000, disc_adaptive_weight 3.5958, d_loss 0.4317, logits_real 0.0268, logits_fake 0.0281,
Train Epoch: [1/5] Iters:[1020/20018] gen_loss 0.1089, rec_loss 0.0258, lpips_loss 0.1854, g_loss -0.0277, disc_weight 0.4000, disc_adaptive_weight 3.6825, d_loss 0.4310, logits_real 0.0263, logits_fake 0.0277,
