Train Epoch: [1/5] Iters:[630/20018] gen_loss 0.1525, rec_loss 0.0282, lpips_loss 0.2042, g_loss -0.0237, disc_weight 0.4000, disc_adaptive_weight 3.3647, d_loss 0.4743, logits_real 0.0219, logits_fake 0.0239,
Train Epoch: [1/5] Iters:[640/20018] gen_loss 0.1461, rec_loss 0.0279, lpips_loss 0.2033, g_loss -0.0240, disc_weight 0.4000, disc_adaptive_weight 3.5253, d_loss 0.4720, logits_real 0.0225, logits_fake 0.0241,
Train Epoch: [1/5] Iters:[650/20018] gen_loss 0.1442, rec_loss 0.0279, lpips_loss 0.2029, g_loss -0.0243, disc_weight 0.4000, disc_adaptive_weight 3.5450, d_loss 0.4702, logits_real 0.0229, logits_fake 0.0246,
Train Epoch: [1/5] Iters:[660/20018] gen_loss 0.1422, rec_loss 0.0278, lpips_loss 0.2031, g_loss -0.0248, disc_weight 0.4000, disc_adaptive_weight 3.5696, d_loss 0.4688, logits_real 0.0232, logits_fake 0.0249,
Train Epoch: [1/5] Iters:[670/20018] gen_loss 0.1456, rec_loss 0.0277, lpips_loss 0.2038, g_loss -0.0252, disc_weight 0.4000, disc_adaptive_weight 3.3970, d_loss 0.4680, logits_real 0.0236, logits_fake 0.0251,
Train Epoch: [1/5] Iters:[680/20018] gen_loss 0.1450, rec_loss 0.0278, lpips_loss 0.2047, g_loss -0.0254, disc_weight 0.4000, disc_adaptive_weight 3.4372, d_loss 0.4665, logits_real 0.0238, logits_fake 0.0251,
Train Epoch: [1/5] Iters:[690/20018] gen_loss 0.1516, rec_loss 0.0281, lpips_loss 0.2055, g_loss -0.0254, disc_weight 0.4000, disc_adaptive_weight 3.2146, d_loss 0.4655, logits_real 0.0237, logits_fake 0.0253,
Train Epoch: [1/5] Iters:[700/20018] gen_loss 0.1473, rec_loss 0.0282, lpips_loss 0.2052, g_loss -0.0255, disc_weight 0.4000, disc_adaptive_weight 3.3672, d_loss 0.4639, logits_real 0.0237, logits_fake 0.0252,
Train Epoch: [1/5] Iters:[710/20018] gen_loss 0.1445, rec_loss 0.0282, lpips_loss 0.2049, g_loss -0.0257, disc_weight 0.4000, disc_adaptive_weight 3.4431, d_loss 0.4621, logits_real 0.0239, logits_fake 0.0254,
Train Epoch: [1/5] Iters:[720/20018] gen_loss 0.1413, rec_loss 0.0282, lpips_loss 0.2042, g_loss -0.0257, disc_weight 0.4000, disc_adaptive_weight 3.5285, d_loss 0.4599, logits_real 0.0238, logits_fake 0.0256,
Train Epoch: [1/5] Iters:[730/20018] gen_loss 0.1410, rec_loss 0.0285, lpips_loss 0.2050, g_loss -0.0259, disc_weight 0.4000, disc_adaptive_weight 3.5543, d_loss 0.4588, logits_real 0.0242, logits_fake 0.0259,
