dataset_dir: /project/6105494/shared/data/
dataset_name: CelebAHQ
global_batch_size: 16
workers: 8
resolution: 256
channels: 3
codebook_size: 65536
codebook_dim: 16
project_dim: 8
pq: 1
L: 4
alpha: 1.0
beta: 1.0
gamma: 0.5
VQ: fsq
epochs: 30
eval_epochs: 5
lr: 0.0001
dropout: 0.0
seed: 3407
weight_decay: 1e-05
checkpoint_dir: /project/6105494/sunset/VQ-Projects/Rate-Distortion-Perspective/Pixel-Space/checkpoint/CelebAHQ
results_dir: /project/6105494/sunset/VQ-Projects/Rate-Distortion-Perspective/Pixel-Space/results/CelebAHQ
saver_dir: /project/6105494/sunset/VQ-Projects/Rate-Distortion-Perspective/Pixel-Space/saver/CelebAHQ
reconstruction_dir: /project/6105494/sunset/VQ-Projects/Rate-Distortion-Perspective/Pixel-Space/reconstruction/CelebAHQ
yaml_dir: /project/6105494/sunset/VQ-Projects/Rate-Distortion-Perspective/Pixel-Space/yaml/CelebAHQ
nnodes: -1
node_rank: -1
local_rank: 0
dist_url: tcp://224.66.41.62:23456
dist_backend: nccl
world_size: 2
batch_size: 8
data_pre: CelebAHQ
model_pre: model_8_4
loss_pre: loss_1.0
training_pre: fsq
saver_name_pre: fsq_CelebAHQ_model_8_4_loss_1.0
| distributed init (rank 0): env://
| distributed init (rank 1): env://
loaded pretrained LPIPS loss from /project/6105494/sunset/VQ-Projects/Rate-Distortion-Perspective/Pixel-Space/code/models/cache/vgg.pth
dataset name: CelebAHQ
len train_set: 30000
len val_set: 30000
Start training...
epoch:1, cur_lr:0.000100
Train Epoch: [1/30] Iters:[1040/1875] loss 0.1885, rec_loss 0.0082, p_loss 0.1803, utilization 0.2713, perplexity 6417.1491,
Train Epoch: [1/30] Iters:[1050/1875] loss 0.1858, rec_loss 0.0082, p_loss 0.1776, utilization 0.2707, perplexity 6393.7830,
Train Epoch: [1/30] Iters:[1060/1875] loss 0.1851, rec_loss 0.0080, p_loss 0.1771, utilization 0.2693, perplexity 6300.2228,
Train Epoch: [1/30] Iters:[1070/1875] loss 0.1867, rec_loss 0.0080, p_loss 0.1788, utilization 0.2685, perplexity 6284.8115,
Train Epoch: [1/30] Iters:[1080/1875] loss 0.1854, rec_loss 0.0078, p_loss 0.1777, utilization 0.2671, perplexity 6230.9287,
Train Epoch: [1/30] Iters:[1090/1875] loss 0.1854, rec_loss 0.0078, p_loss 0.1776, utilization 0.2653, perplexity 6088.2833,
Train Epoch: [1/30] Iters:[1100/1875] loss 0.1869, rec_loss 0.0077, p_loss 0.1792, utilization 0.2662, perplexity 6125.1131,
Train Epoch: [1/30] Iters:[1110/1875] loss 0.1859, rec_loss 0.0076, p_loss 0.1782, utilization 0.2683, perplexity 6258.3359,
Train Epoch: [1/30] Iters:[1120/1875] loss 0.1834, rec_loss 0.0074, p_loss 0.1759, utilization 0.2687, perplexity 6222.0139,
Train Epoch: [1/30] Iters:[1130/1875] loss 0.1833, rec_loss 0.0075, p_loss 0.1759, utilization 0.2687, perplexity 6169.9084,
Train Epoch: [1/30] Iters:[1140/1875] loss 0.1818, rec_loss 0.0074, p_loss 0.1745, utilization 0.2703, perplexity 6278.3352,
Train Epoch: [1/30] Iters:[1150/1875] loss 0.1800, rec_loss 0.0073, p_loss 0.1727, utilization 0.2703, perplexity 6231.8439,
Train Epoch: [1/30] Iters:[1160/1875] loss 0.1809, rec_loss 0.0073, p_loss 0.1736, utilization 0.2715, perplexity 6268.6306,
Train Epoch: [1/30] Iters:[1170/1875] loss 0.1806, rec_loss 0.0074, p_loss 0.1733, utilization 0.2732, perplexity 6360.8296,
Train Epoch: [1/30] Iters:[1180/1875] loss 0.1789, rec_loss 0.0073, p_loss 0.1716, utilization 0.2737, perplexity 6392.1585,
Train Epoch: [1/30] Iters:[1190/1875] loss 0.1786, rec_loss 0.0074, p_loss 0.1712, utilization 0.2738, perplexity 6380.9595,
Train Epoch: [1/30] Iters:[1200/1875] loss 0.1785, rec_loss 0.0073, p_loss 0.1713, utilization 0.2750, perplexity 6448.5496,
Train Epoch: [1/30] Iters:[1210/1875] loss 0.1765, rec_loss 0.0072, p_loss 0.1693, utilization 0.2735, perplexity 6372.9075,
