Train Epoch: [1/5] Iters:[860/20018] gen_loss 0.3161, rec_loss 0.0233, lpips_loss 0.1751, g_loss 0.0371, disc_weight 0.4000, disc_adaptive_weight 3.1753, d_loss 0.4438, logits_real -0.0379, logits_fake -0.0370,
Train Epoch: [1/5] Iters:[870/20018] gen_loss 0.3107, rec_loss 0.0233, lpips_loss 0.1759, g_loss 0.0372, disc_weight 0.4000, disc_adaptive_weight 3.0008, d_loss 0.4426, logits_real -0.0379, logits_fake -0.0372,
Train Epoch: [1/5] Iters:[880/20018] gen_loss 0.3285, rec_loss 0.0235, lpips_loss 0.1766, g_loss 0.0373, disc_weight 0.4000, disc_adaptive_weight 3.4413, d_loss 0.4414, logits_real -0.0380, logits_fake -0.0375,
Train Epoch: [1/5] Iters:[890/20018] gen_loss 0.3372, rec_loss 0.0233, lpips_loss 0.1756, g_loss 0.0373, disc_weight 0.4000, disc_adaptive_weight 3.7023, d_loss 0.4404, logits_real -0.0384, logits_fake -0.0376,
Train Epoch: [1/5] Iters:[900/20018] gen_loss 0.3390, rec_loss 0.0237, lpips_loss 0.1774, g_loss 0.0375, disc_weight 0.4000, disc_adaptive_weight 3.6808, d_loss 0.4394, logits_real -0.0386, logits_fake -0.0377,
Train Epoch: [1/5] Iters:[910/20018] gen_loss 0.3443, rec_loss 0.0236, lpips_loss 0.1773, g_loss 0.0376, disc_weight 0.4000, disc_adaptive_weight 3.8121, d_loss 0.4381, logits_real -0.0389, logits_fake -0.0380,
Train Epoch: [1/5] Iters:[920/20018] gen_loss 0.3494, rec_loss 0.0235, lpips_loss 0.1759, g_loss 0.0378, disc_weight 0.4000, disc_adaptive_weight 3.9683, d_loss 0.4375, logits_real -0.0393, logits_fake -0.0382,
Train Epoch: [1/5] Iters:[930/20018] gen_loss 0.3368, rec_loss 0.0236, lpips_loss 0.1759, g_loss 0.0378, disc_weight 0.4000, disc_adaptive_weight 3.6358, d_loss 0.4366, logits_real -0.0394, logits_fake -0.0382,
Train Epoch: [1/5] Iters:[940/20018] gen_loss 0.3292, rec_loss 0.0236, lpips_loss 0.1761, g_loss 0.0381, disc_weight 0.4000, disc_adaptive_weight 3.4052, d_loss 0.4357, logits_real -0.0395, logits_fake -0.0383,
Train Epoch: [1/5] Iters:[950/20018] gen_loss 0.3274, rec_loss 0.0233, lpips_loss 0.1752, g_loss 0.0383, disc_weight 0.4000, disc_adaptive_weight 3.3698, d_loss 0.4350, logits_real -0.0397, logits_fake -0.0383,
Train Epoch: [1/5] Iters:[960/20018] gen_loss 0.3217, rec_loss 0.0232, lpips_loss 0.1756, g_loss 0.0383, disc_weight 0.4000, disc_adaptive_weight 3.2136, d_loss 0.4347, logits_real -0.0397, logits_fake -0.0383,
Train Epoch: [1/5] Iters:[970/20018] gen_loss 0.3213, rec_loss 0.0235, lpips_loss 0.1764, g_loss 0.0384, disc_weight 0.4000, disc_adaptive_weight 3.1712, d_loss 0.4340, logits_real -0.0395, logits_fake -0.0385,
Train Epoch: [1/5] Iters:[980/20018] gen_loss 0.3302, rec_loss 0.0235, lpips_loss 0.1766, g_loss 0.0384, disc_weight 0.4000, disc_adaptive_weight 3.4015, d_loss 0.4332, logits_real -0.0396, logits_fake -0.0384,
Train Epoch: [1/5] Iters:[990/20018] gen_loss 0.3350, rec_loss 0.0235, lpips_loss 0.1761, g_loss 0.0381, disc_weight 0.4000, disc_adaptive_weight 3.5724, d_loss 0.4326, logits_real -0.0393, logits_fake -0.0383,
Train Epoch: [1/5] Iters:[1000/20018] gen_loss 0.3342, rec_loss 0.0238, lpips_loss 0.1762, g_loss 0.0379, disc_weight 0.4000, disc_adaptive_weight 3.5570, d_loss 0.4316, logits_real -0.0391, logits_fake -0.0380,
Train Epoch: [1/5] Iters:[1010/20018] gen_loss 0.3375, rec_loss 0.0235, lpips_loss 0.1750, g_loss 0.0380, disc_weight 0.4000, disc_adaptive_weight 3.6745, d_loss 0.4307, logits_real -0.0391, logits_fake -0.0379,
